answer_text,certainty_rate,coverage,direct_early,evasion,event_key,forward_rate,justification_rate,question_complexity,question_text,rank,severity
Thank you.,0.0,0.019801980198019806,0.0,0.5972277227722773,AAPL_2019_Q4,0.0,0.0,109.0,"I guess 2 questions from me as well. First one, Tim, if you think about the Services business, you're less than $2 billion away from the targets you had laid out a few years back. But I'm wondering if you think about the growth rates you've had in the business over the last several years, the high teens average, I think, how much of that do you think was driven by the installed base growing versus incremental monetization of the installed base? And do you see that ratio essentially flipping or changing as you go forward?",1,3.8159523476513213
"We're not going to give out projections on it, but I would tell you that we were really pleased with the number of people that entered the trial period. People are just coming out of the 30-day trial period in the last few days or a week or so, and so it's really too early to tell what the conversion rate will be. But I feel like we're off to a good start, and the -- most important of everything, the customer feedback to date has really been incredible, and we're very excited for the future of the service.",10.1010101010101,0.2577319587628866,0.0,0.5730084348641049,AAPL_2019_Q4,20.2020202020202,0.0,104.0,"Got it. And then if I could just kind of go back to the Wearables discussion, I mean, and especially if you think about Apple Watch and AirPods. Is there a sense or a way to think about what's the attach rate today to iOS devices for Apple Watch or AirPods? I guess I'm just trying to understand, if I think about 900 million-plus iPhone installed base, what kind of penetration do you have at Wearables and how long could this one may be as you go forward?",2,3.339903522892334
"I think we have opportunities, Amit, in both the growth of the installed base. As Luca mentioned in his comments, we continue to grow across every category, hit new highs in the last quarter. And we hit new highs in all of our top 20 markets. And so the installed base is clearly a piece of it. Getting the trade-in program going and the secondary market moving has been helpful in that as well. And of course, the -- ultimately, the thing that builds the installed base is to make customers happy. And that's our -- always our top objective is to have satisfied customers. The other thing that is obviously happening is in many areas, the ARPU is increasing. And so as there's more offers out there, I mean, the one that is today getting the attention is on the streaming side. But if you look at the number of services that have been added over the years, it's significant. And people love them. And so it's really both of those. And obviously, finally, getting more people that are enjoying things for free to elect to pay for some of the premium services. So it's sort of all 3 of those.",9.950248756218905,0.12903225806451613,0.0,0.47278125501524637,AAPL_2019_Q4,0.0,0.0,47.0,"And then with the strong slate of content in Apple TV+, can you just talk about the strategy behind giving it away to those that are buying an applicable device versus charging for it? And my congrats to Nancy and thank you.",3,2.777936195807656
"Let me cover that accounting issue first. Obviously, we need to make some assumptions around the take rate of our customers on the -- on Apple TV+, right? And we don't want to get into the details of that because we view those assumptions as confidential and competitively sensitive. But you need to keep in mind that we contemplate a number of factors, including the fact that we have family sharing as part of the service, the fact that there are multiple device purchases, the geographic availability around the world, the availability of local content at the beginning of the service, how many people do we have with payment methods on file. So we use all these things to make assumptions around what the take rate is going to be. Obviously, those assumptions will possibly change over time as we get more information on how the customers behave. We haven't launched the service yet. We're going to start serving our customers tomorrow, so we'll see how it goes, but we take into account all these different factors.",5.681818181818182,0.1877551020408163,0.8863636363636364,0.172237012987013,AAPL_2019_Q4,5.681818181818182,5.681818181818182,92.0,"I just wanted to start off with one of -- new Services, Apple Arcade and if you have any insights in terms of what you're seeing for engagement or retention of customers beyond the initial trial period. Also, how are your partnerships with developers progressing there? How does the pipeline look like? And any early projections of what that business longer term might look like?",4,1.7428735383217566
"Yes. Chris, I think that the price moves we've made have been smart and well-received and do show a level of elasticity. But the most important thing by far is the product. And I think we've got the best lineup we've ever had, and the customer response to the product, what the product does for them is really incredible. And the photos I'm getting from many users around the world are just incredible that people are taking. And so I think it's product first and then price sort of falls out of that. And we did decide to be more aggressive. And looking at the results in the early going, I think it was the right call. In terms of emerging markets, we picked sort of locally relevant prices. And in some cases where the dollar had become stronger, we took an exchange rate that would've reflected a while back instead of the current exchange rate. And in other words, we tried to stay as close as we could to a local price point that we knew was effective for that particular market. And those, in addition to the U.S. price that have gotten more of a discussion, have been extremely well-received.",0.0,0.23611111111111108,0.9853658536585366,0.18216395663956642,AAPL_2019_Q4,0.0,0.0,84.0,"So Wearables category has been strong, and it's hard to believe it's now essentially the same size as Mac. But related to Apple's initiatives in health care, do you think health-related features are a primary driver of Wearables growth? And maybe conversely, how important is the rising installed base of Wearables and the data that's associated with that to the ongoing innovation within Apple Health? And then I have a follow-up.",5,1.5649759768241458
"Thank you, Chris. A replay of today's call will be available for 2 weeks on Apple Podcasts, as a webcast on apple.com/investor and via telephone. The numbers for the telephone replay are (888) 203-1112 or (719) 457-0820. Please enter confirmation code 3229513. These replays will be available by approximately 5:00 p.m. Pacific Time today. Members of the press with additional questions can contact Kristin Huguet at (408) 974-2414. Financial analysts can contact me with additional questions at (669) 227-2402. Thank you again for joining us.",21.50537634408602,0.14285714285714285,0.0,0.5068817204301075,AAPL_2020_Q2,21.50537634408602,0.0,112.0,"I wanted to follow up with another question on iPhone SE and the decision to bring it back and where it sits within the total iPhone strategy. And I guess coupled with the fact that iPhone 11, you made the decision to bring that at a lower price point, what does that tell us with respect to your approach to iPhone pricing and flexibility? Is this helping to add users and kind of bring people into the ecosystem? And if so, what does that imply for gross margins?",1,3.441995821166331
"Yes. For March, Chris, we saw NAND pricing increase slightly, while DRAM and displays and the other commodities declined. For the June quarter, we would expect NAND and DRAM pricing to remain at this historically low level, while displays and most other commodity prices, we expect to decline.",62.5,0.08849557522123894,0.5416666666666667,0.24386061946902654,AAPL_2020_Q2,41.666666666666664,0.0,74.0,"So I want to focus the question on Services. The segment was solid in the quarter in spite overall macro weakness. I can kind of see launch behind it being strong despite product weakness overall. As you kind of look at the rest of the year, do you think that's sustained? Or at some point, does the macro impacts worldwide impact the Services line?",2,2.2469524721998524
Thank you very much for that.,0.0,0.1818181818181818,0.0,0.3812121212121212,AAPL_2020_Q2,0.0,0.0,25.0,"Tim, I think I speak for everyone on the call that we're all very appreciative of Apple's contribution during this pandemic. We all appreciate it.",3,2.14353133142377
"Amit, it's Tim. If you look at the iPhone channel inventory during Q2, the reduction of it was more than the reduction from the previous year. It's not unusual that we reduce in Q2, and in fact, if you look back on -- generally speaking, in the first half of the calendar year, we reduce channel inventories. During the second half of the calendar year, we generally raise channel inventories. That's a seasonal thing. And I believe -- sitting here today, I believe that will happen this year as well. So hopefully, that answers your question. And by the way, we ended in a comfortable position, so you could conclude from that, that we were within a target range.",8.547008547008547,0.2596153846153846,0.9829059829059829,0.2201495726495727,AAPL_2020_Q2,17.094017094017094,0.0,107.0,"That's really helpful. And could I just follow up? Tim, I was hoping you could maybe talk a little bit about how do you think about Apple's manufacturing strategy and perhaps need for some diversity, especially given everything the company and everyone has gone through over the last 12 months. How do you think about that? And do you feel comfortable that the supply chain and the manufacturing base is well situated today to launch the traditional fall products that they used to get from Apple?",4,1.693155695900988
"Well, we're continuing to operate. And so as you can tell, along with everything else going on, we were able to launch and ship the iPhone SE, the iPad Pro with the Magic Keyboard and the MacBook Air. And so business continues and the new products are our lifeblood. And so we're continuing to work. Everybody is getting used to the work at home. In some areas of the company, people may be even more productive. In some other areas, they're not as productive, and so it's mixed depending upon what the roles are. But as you can tell from what we did this quarter, despite the environment, we have our head down, are working because we know that our customers want the products that we've got. They are even more important in these times.",0.0,0.23076923076923078,1.0,0.17621082621082623,AAPL_2020_Q2,0.0,7.407407407407407,79.0,"I have 2 as well. I guess, first off, on the channel inventory, I was hoping if you could talk about how did channel inventory look like in the March quarter because it sounds like it may be below the historical ranges. And then the discussion you had for June quarter performance of iPhones, what are you embedding from a channel building back inventory levels in that expectation?",5,1.5272486418411468
"Well, I don't want to make a forever comment but there are -- we're a product company and we love making the whole thing and -- because we can own the user experience in that way and with the goal of delighting the user. And that's the reason that we're doing the Apple silicon is because we can envision some products that we can achieve with Apple silicon that we couldn't achieve otherwise. And so that's how we look at it.",0.0,0.2962962962962963,0.0,0.45851851851851855,AAPL_2020_Q3,0.0,37.9746835443038,108.0,"Got it. I really appreciate that. And I wanted to ask a question on the wearables segment. It seems to me that you're categorizing the wearables business as maybe being a little bit impacted by pandemic similar to the iPhones. And it's the first time that wearables hasn't materially upsided in at least a while in recent memory. I guess the drivers of wearables being Watch and -- predominantly Watch and AirPods, what are your thoughts going forward on whether there's a little bit of pent-up demand perhaps that might resume as we get back to a more normalized environment?",1,3.0617126308429534
"I think, Amit, it's a combination of a strong launch with iPhone SE and in some -- probably some pickup because of the economic stimulus that hit different countries at different points in time and probably some of the reopening that took place across the quarter, particularly in May and June, as stores started to reopen. And so it's a combination of all of those. And as you know, we've been having a strong cycle with the iPhone 11 and the 11 Pro. And so when you combine the -- a strong cycle plus an iPhone SE launch plus the reopening of the stores, et cetera, I think there were a lot of things that were going in the right direction there.",0.0,0.11320754716981131,0.0,0.5396509433962264,AAPL_2020_Q3,0.0,8.333333333333334,45.0,"Okay, Tim. And as a follow-up, now that Apple has Apple silicon for Macs, would you ever consider monetizing this as a merchant silicon vendor? Or is this going to be forever for Apple use?",2,2.88381035624127
"And Jim, on the iPhone, I said in my remarks that we launched -- a year ago, we launched the new iPhone in late September. So I was referring to the new product. And I said that this year, the supply of the new product will be a few weeks later than that.",19.23076923076923,0.19417475728155342,0.0,0.416277072442121,AAPL_2020_Q3,19.23076923076923,0.0,56.0,"Tim, I was hoping you could share a little bit about where you think channel inventory is. You talked about the tightness you saw exiting the June quarter for Mac and iPad. Interested where you think inventory is across major product categories. And then I had a follow-up for Luca.",3,2.706271018274382
"Yes. I mean what we wound up -- what we'll wind up with is a common architecture across all of our products, which gives us some interesting things that we can do in products that are -- that it sort of unleashes another round of innovation. And so I don't want to say a lot about it other than we're extremely excited about it. It's something that we've worked on quite a while to get to this point, and we're looking forward to shipping the first Mac with Apple silicon later in the year.",0.0,0.3,0.42391304347826086,0.1786521739130435,AAPL_2020_Q3,10.869565217391305,0.0,98.0,"I have one and a follow-up as well. So first one, I guess, Tim, if I think about the strength you're seeing with iPhones right now, do you have a sense in terms of where is this trend coming from? Is it more replacement cycles getting shorter? Or are we just getting new customers into the iOS ecosystem? Because clearly, these growth rates seem fairly impressive in the context of a pandemic and the upcoming refresh cycle that we have.",4,2.024659752924193
"We -- usually, we've gotten away from talking about channel inventories. But to give you a perspective, sitting here, looking at it, on iPhone, the inventory is slightly less than it was a year ago. And that's -- I'm saying that at a quarter end point, so at the end of Q3. And obviously, iPad and Mac are constrained, and so both of those are less than they were in the year-ago quarter.",0.0,0.24264705882352944,0.9027777777777778,0.169640522875817,AAPL_2020_Q3,0.0,0.0,208.0,"And I have 2 questions. I'll ask them at the same time, and it's one for Tim and one for Luca. Tim, the coronavirus -- your company has done a fantastic job at overcoming the hurdle. So congratulations to you. As you look forward, say, to the Christmas holiday shopping season and given the economic challenges around the world of where is coronavirus and your product launches and things like that, can you give any commentary maybe how this Christmas, you're looking forward to see maybe some past cycles of Christmas of a line-up? Because it just seems like it's a little bit different, but Apple is really showing a lot more strength coming into this Christmas than maybe some of the past years. And then for Luca. I think today, a quick comment, Luca, that -- you mentioned something about a few weeks later. Was that for like iPhone, iPhone chips or product launches? Or maybe expound upon that. I know things are more difficult but I didn't quite get the commentary. It was in your prepared comments, Luca, about a few weeks later. Let's just do a quick little blurb.",5,1.9278144861779682
"So as I said, Jeriel, we're not providing a range for the reasons that I explained during my prepared remarks. So you need to keep in mind a couple of things that are unique about this quarter versus the past. And then I mentioned again, the launch timing of the phones is different from the past. So we're launching the new iPhones 4 weeks into the quarter for 2 models, for the 12 and the 12 Pro; and 7 weeks into the quarter for the other 2, the iPhone mini and the 12 Pro Max. So that is something to keep in mind as you think about the growth rates. With regard to all the other product categories, as I said, we are expecting to grow double digits essentially across the board for the rest of our products and for services. And so we are incredibly optimistic about what we're seeing so far. Obviously, we started taking preorders 5 days ago, and so it's a bit early for the phone. But we think that there are a lot of tailwinds this year for iPhone, for the entire cycle, some of the comments that Tim has already made, right? We've got the best lineup of iPhones that we've ever had. We've got an installed base of iPhone that is very large, continues to grow. It's at an all-time high. Obviously, 5G is a once-in-a-decade opportunity. And as you've seen in some markets, certainly here in the United States, carrier offers are very aggressive. And so that is very good for consumers and ultimately very good for us. So very, very optimistic, given what we've seen so far.",3.5714285714285716,0.23036649214659685,0.0,0.5036058339566193,AAPL_2020_Q4,0.0,3.5714285714285716,99.0,"Yes. I guess first question is on iPhone pricing. There were some changes in the iPhone price back this year. The iPhone price point for iPhone 12 moved up a bit. And I guess the difference, the gap between 12 and 12 Pro is smaller. And I guess that's after you made some adjustments years prior where the price points came down a bit. Can you talk through the thought process behind that and the potential implications for either unit elasticity or blended ASP as a result of the price changes?",1,3.205172444186003
"Well, we're doing everything we can do, but we're prioritizing safety first, obviously. And so with our stores as an example, we've come up with a new concept that puts an -- essentially turns the store into an express storefront. And we've implemented that in a number of places where we believe it helps from the safety of our employee and the safety of the customer's point of view but still allows for an interaction to take place. And so we've also put a lot more people on the phones because a lot more people are reaching out to us in that way. And of course, the online store has stayed up and running through the whole of this. I think if you take some of those, the channel is doing some similar things and then some different things as well. And so I think everybody, to the best of their ability, is putting in contingency plans and finding a way to adapt to the environment. But it is difficult to call, and there's a level of uncertainty in it, obviously, and that's what Luca was referring to earlier.",0.0,0.2620689655172414,0.0,0.4257571533382245,AAPL_2020_Q4,5.319148936170213,5.319148936170213,108.0,"Okay. Great. And then switching to Mac and iPad. How do you think about the durability of the strength you're seeing there with Mac and iPad? Is there any potential for stronger-than-seasonal pullback after the strong back-to-school season and holiday season? And the supply constraints make it feel like there's a good chance for continuation of the strong demand trends and flow-through of that. What should we think about the seasonality into the December and March quarter, being more positive than seasonal or less positive than seasonal?",2,3.0487502088397114
"We've got -- Katy, as you know, we've announced a number of services over the last couple of years. And we are ramping those between Apple TV+ and Apple News+ and Apple Arcade. We've got Apple Card. We've got Apple Fitness+ coming. We've got a number of services that have been launched a bit longer that are doing really well from the App Store to iCloud. And so there's a lot of room there and potential there. I have no idea how the DOJ suit will go, but I think it's a long way from a conclusion on it.",10.204081632653061,0.21818181818181817,0.8775510204081632,0.20210760667903527,AAPL_2020_Q4,10.204081632653061,0.0,64.0,"Yes. I guess -- I appreciate the guidance for revenues to grow. But I guess my question, perhaps if I could, is relative to seasonality. You guys -- over the last 5 years, your seasonality is typically up about 50% quarter-on-quarter. Do you think that you can beat that even with the later release? And I have a follow-up.",3,1.6241479844796622
"Thanks, Shannon. If you look at China and look at last quarters -- I'll talk about both last quarter and this quarter a bit. Last quarter, what we saw was our non-iPhone business was up strong double digit for the full quarter. And then if you look at iPhone and you look at it in 2 parts: one, pre-mid-September, which is pre the point at which the previous year we would have launched iPhones, that, that period of time, which was the bulk of the quarter, iPhone was growing from a customer demand point of view. And of course, the -- not shipping new iPhones for the last 2 weeks of September makes that number in the aggregate a negative. But the net is the underlying business in China last quarter was very strong and perhaps very different than you might think from just a quick look at the stated number. In terms of this quarter, given the explanation for last quarter and the momentum that we've got, and as importantly, given the initial data points that we see on iPhone 12 and iPhone 12 Pro, although we don't guide to revenue, as Luca said, I would tell you that we are confident that we will grow this quarter in China. And so we're very bullish on what's going on there. A little more color on last quarter. We had a much more significant inventory drawdown on the channel side than other regions. And so that is one reason why the numbers are different than other regions. And additionally, the new products in the year-ago quarter were a higher percentage of our iPhone sales than they were in other regions. So hopefully, that explains what's going on in China. In terms of the market there, 5G is fairly advanced there. They're forecasting 600,000 base stations by the end of the year, and so we're entering the market at a very good time. And with the reception that we've gotten so far, we're very confident there.",8.875739644970414,0.14457831325301207,0.9585798816568047,0.1625401012333357,AAPL_2020_Q4,5.9171597633136095,8.875739644970414,69.0,"Got it. That's very helpful, Luca. And then a follow-up for Tim. Tim, was kind of surprised, you didn't say a lot about the payments ecosystem in these prepared comments. Kind of curious to find out from your vantage point how you think of your whole payment ecosystem, including Apple Card, Apple Pay, Apple Cash and how you're disaggregating the whole fintech environment.",4,1.6179317543023044
"It's -- prior to mid-September, we were seeing double-digit growth in customer demand on iPhone. So there's a lot of momentum there, and there is a lot of momentum even much more so now given the launch of the 12 Pro and the iPhone 12. If you're asking whether it could have been even more with a different macro spending environment, I believe the answer to be yes. But you can't run the experiment, and so I don't know for sure. But I suspect that just the COVID, in general, takes something off from a worldwide economic point of view.",0.0,0.2637362637362637,0.900990099009901,0.16644325971058646,AAPL_2020_Q4,0.0,9.900990099009901,88.0,"Okay. And shifting to the Services business. This isn't dependent on certainly any one service, but licensing and other historically has been a driver of growth. That's where the ad-based revenue comes in. When you think about the Google antitrust pressure, what's the risk that you see some shrinkage in your licensing and other segment within Services? And do you see opportunities for other services to make up for any potential weakness?",5,1.5817674240826147
Thank you.,0.0,0.020202020202020204,0.0,0.5971717171717172,AAPL_2021_Q1,0.0,0.0,121.0,"Congrats on the very strong results. My first question is for Tim. Tim, I want to talk a little bit about your search and advertising business. How do you think of the long-term growth opportunities in advertising? How do you think it -- how long can it grow at 2 to 3x the App Store growth rate? And also, are there any applications where your fundamental search technology, AR-infused could be adapted for other parts of the Services business? That's the first question. And then I have a quick follow-up for Luca after that.",1,3.8992152225100623
Thank you.,0.0,0.018348623853211007,0.0,0.5974311926605506,AAPL_2021_Q1,0.0,0.0,111.0,"Okay. And then, Tim, I was wondering if you could just comment more broadly around growth for Apple and sources of growth. The company this year is going to be well over $300 billion in revenue. Historically, you've eschewed acquisitions. And I'm wondering if you could comment whether you still feel confident that Apple has Apple organic growth opportunities and that you don't believe acquisitions are an important source of growth. And then I think perhaps most importantly, as you look out, let's say, over the next 5 years, what do you think is a realistic revenue growth rate for Apple going forward?",2,3.833412376593264
"So as I said earlier, we grew iPhone revenue 17%, and that growth came from both unit sales and ASPs because of the strong mix that I mentioned before. So I think that answers your question for the December quarter. What we've seen so far, it's very early because we launched the new products only a few weeks ago. What we've seen so far is a very high level of interest for the Pro models, the Pro and the Pro Max. We worked very hard to ramp up our supply. We've had some supply constraints during the December quarter. We think we're going to be able to solve them during the March quarter. But so far, the mix has been very, very strong on iPhone.",0.0,0.2146341463414634,0.0,0.5347512195121952,AAPL_2021_Q1,0.0,16.0,82.0,"That's great. And Tim, one of the challenges with valuing Apple is just a limited visibility that investors have into the road map and any new categories that you might enter over time. Without, of course, commenting on any given opportunity, can you talk about the framework that you use internally to evaluate new markets that might be attractive and what you believe will determine your success as you look to enter new markets?",3,3.1617515874345914
"It's really too early to answer some of those questions. As you know, we just got started in the -- into the quarter in Q1, so we have less than a quarter on this right now. What we wanted to accomplish with it, we're clearly accomplishing, which is making our services very easy to subscribe to. Our customers clearly told us that they wanted to subscribe to several services or, in some cases, all of our services. And so we've made that very simple, and it's clear from the early going that it's working but we've just gotten started on it.",20.0,0.1935483870967742,0.0,0.39590322580645165,AAPL_2021_Q1,0.0,0.0,60.0,"Great. And Tim, you mentioned about the strength of the installed base performance, which continues to grow very impressively at this scale. Can you maybe help us think through how the switcher versus upgrade activity has been tracking in recent quarters? Would love to get your thoughts on that.",4,2.7148807738755023
